time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004889,-0.1472,-0.0421,0.1298,0.201
0.010413,-0.2734,0.0393,0.0457,0.280
0.029180,-0.6816,0.3669,0.0698,0.777
0.030441,-0.6472,0.4914,0.0893,0.817
0.046883,-0.4225,0.2420,-0.0078,0.487
0.053149,-0.4712,0.2579,-0.2900,0.610
0.053716,-0.4712,0.2579,-0.2900,0.610
0.063410,-0.2704,0.3233,-0.4665,0.629
0.075228,-0.1996,0.3972,-0.3301,0.554
0.086259,-0.1532,0.2591,-0.3692,0.476
0.101267,0.4767,0.1580,-0.4652,0.685
0.121248,0.3519,-0.0191,-0.5325,0.639
0.121861,0.3519,-0.0191,-0.5325,0.639
0.127842,0.4515,-0.1026,-0.8139,0.936
0.134168,0.6227,-0.3970,-1.2154,1.422
0.143897,0.4709,-0.1836,-1.3410,1.433
0.151857,-0.6232,0.0462,0.2918,0.690
0.164225,0.5746,-0.1475,2.0429,2.127
0.174852,1.5305,-0.3722,1.4127,2.116
0.185377,0.9910,-0.6615,0.2903,1.226
0.208877,0.0693,-0.9252,-0.1586,0.941
0.209554,0.0693,-0.9252,-0.1586,0.941
0.228404,-0.2593,-0.2923,0.4708,0.612
0.237221,-0.3835,-0.1337,0.5850,0.712
0.237978,-0.3835,-0.1337,0.5850,0.712
0.245695,-0.2295,-0.1915,0.4047,0.503
0.254419,-0.2824,-0.2980,0.2628,0.487
0.265257,-0.4269,-0.2938,0.1095,0.530
0.273993,-0.3974,-0.1238,-0.2178,0.470
0.307749,0.0354,0.2403,-0.6176,0.664
0.308713,-0.1207,0.1119,-0.5770,0.600
0.309348,-0.1207,0.1119,-0.5770,0.600
0.327792,-0.1495,0.1508,-0.0879,0.230
0.328807,0.0242,0.2563,-0.0192,0.258
0.340905,0.0792,0.3238,-0.0063,0.333
0.351007,-0.0355,0.2037,0.2677,0.338
0.362315,-0.0242,0.1131,0.4705,0.484
0.372866,-0.0155,0.0576,0.2193,0.227
0.384416,-0.1986,0.0322,-0.1120,0.230
0.395575,-0.2083,-0.0004,-0.0890,0.226
0.396318,-0.2083,-0.0004,-0.0890,0.226
0.411441,-0.1969,-0.0795,-0.1168,0.242
0.430062,-0.0344,-0.2258,-0.3099,0.385
0.430686,-0.0344,-0.2258,-0.3099,0.385
0.439942,-0.1119,-0.1645,-0.2331,0.306
