time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009536,-0.2103,0.3457,-0.3172,0.514
0.009923,-0.2103,0.3457,-0.3172,0.514
0.030334,-0.2031,0.2946,0.0930,0.370
0.030650,-0.2031,0.2946,0.0930,0.370
0.040795,-0.1237,0.4205,0.3367,0.553
0.052547,0.0080,0.4670,0.5585,0.728
0.063314,0.1977,0.3181,0.6808,0.777
0.074548,0.0722,-0.0206,0.3044,0.313
0.085187,-0.0688,-0.3810,-0.1038,0.401
0.097526,-0.0377,-0.4262,-0.2615,0.501
0.107350,-0.0126,-0.3422,-0.3144,0.465
0.107531,-0.0126,-0.3422,-0.3144,0.465
0.120859,0.0382,-0.3456,-0.2055,0.404
0.129485,-0.0529,-0.3994,-0.1109,0.418
0.141188,-0.0895,-0.3309,0.1014,0.357
0.151374,0.0032,-0.2407,0.2144,0.322
0.162498,0.1288,-0.1271,0.2213,0.286
0.173953,0.1665,-0.1094,0.2345,0.308
0.184527,0.1907,-0.1351,0.2547,0.346
0.196776,0.1924,-0.0652,0.2236,0.302
0.206692,0.0236,0.0187,0.3663,0.368
0.206893,0.0236,0.0187,0.3663,0.368
0.221680,0.0791,0.1314,0.1566,0.219
0.228563,0.0630,0.1646,-0.2313,0.291
0.241730,0.1059,0.1343,-0.1658,0.238
0.250808,0.4021,0.3698,-0.0459,0.548
0.262104,0.1520,0.2736,-0.2628,0.409
0.273266,0.1254,0.1401,-1.2230,1.237
0.284122,0.1587,0.3200,-1.2253,1.276
0.296693,-0.0254,0.1229,-1.0401,1.048
0.306262,-0.1277,0.0773,-1.0116,1.023
0.317309,0.1467,0.0582,-0.9193,0.933
0.328225,0.1069,0.1138,-0.9920,1.004
0.328417,0.1069,0.1138,-0.9920,1.004
0.342594,-0.2564,0.0850,-0.8728,0.914
0.351035,-0.1583,-0.0184,-0.7552,0.772
0.362792,-0.0263,0.0333,-0.5300,0.532
0.372540,-0.1597,0.0748,-0.5037,0.534
0.383688,-0.1483,-0.0125,-0.0750,0.167
0.396273,-0.1277,0.0763,0.1676,0.224
0.405699,-0.0656,0.0064,0.3631,0.369
0.418087,0.0666,-0.0532,0.3386,0.349
0.427840,-0.1684,-0.0784,0.3638,0.408
0.438933,0.0566,-0.1603,0.4854,0.514
0.450013,0.0003,-0.0997,0.5576,0.566
0.450264,0.0003,-0.0997,0.5576,0.566
0.463725,-0.1389,-0.0425,0.3057,0.338
0.472166,-0.1361,-0.0225,0.1556,0.208
0.495818,-0.0473,0.0217,-0.1878,0.195
0.496066,-0.0473,0.0217,-0.1878,0.195
0.505094,-0.0831,-0.0199,-0.1821,0.201
0.516338,-0.0201,-0.0422,-0.1217,0.130
0.527482,0.1202,-0.0652,-0.0854,0.161
0.538515,-0.0628,-0.0514,0.1494,0.170
0.549592,-0.0939,-0.0417,0.2168,0.240
0.549839,-0.0939,-0.0417,0.2168,0.240
0.564273,-0.0446,-0.0408,0.2180,0.226
0.571656,-0.0144,-0.0121,0.2163,0.217
0.594927,-0.0241,0.0954,-0.0181,0.100
0.595137,-0.0241,0.0954,-0.0181,0.100
0.604675,-0.0028,0.1044,0.0562,0.119
0.615798,0.0260,0.0718,-0.0035,0.076
0.627070,0.2240,-0.0071,-0.3446,0.411
0.637948,0.0143,0.0123,-0.4216,0.422
0.649063,-0.0499,0.0193,-0.4227,0.426
0.660149,0.0283,0.0550,-0.3742,0.379
0.671151,0.0580,0.0404,-0.3360,0.343
0.671372,0.0580,0.0404,-0.3360,0.343
0.694550,0.1693,0.0426,-0.1305,0.218
0.694781,0.1693,0.0426,-0.1305,0.218
0.704923,-0.0551,0.1306,-0.0385,0.147
0.715387,-0.1095,0.1247,0.0871,0.187
0.726492,-0.0567,0.0918,-0.0768,0.132
0.737688,0.0713,0.0502,0.0582,0.105
0.748775,0.1797,-0.1762,0.3713,0.449
0.759632,-0.0132,-0.1204,0.3691,0.389
0.770810,-0.0861,-0.0303,0.3536,0.365
0.771017,-0.0861,-0.0303,0.3536,0.365
0.794176,-0.0887,0.0966,0.0052,0.131
0.794382,-0.0887,0.0966,0.0052,0.131
0.806062,-0.0408,0.1181,-0.1882,0.226
0.815196,-0.0468,0.0870,-0.3029,0.319
0.837173,0.0282,-0.0004,-0.4390,0.440
0.837410,0.0282,-0.0004,-0.4390,0.440
0.848131,0.0301,0.0064,-0.3197,0.321
0.859286,0.0093,0.0511,-0.2223,0.228
0.870451,0.0506,0.1127,-0.1251,0.176
0.882351,0.0522,0.0822,-0.0162,0.099
0.892352,-0.0265,0.0380,0.0093,0.047
0.892607,-0.0265,0.0380,0.0093,0.047
0.906856,-0.0700,0.0150,0.0224,0.075
0.914501,-0.0644,0.0025,0.0459,0.079
0.927025,0.0145,0.0305,0.0834,0.090
0.936761,-0.0127,0.0149,0.1167,0.118
0.947675,0.0110,-0.0681,0.1454,0.161
0.959297,0.0356,-0.1054,0.1405,0.179
0.969962,-0.0170,-0.0541,0.0518,0.077
0.980893,-0.0041,-0.0044,0.0276,0.028
0.992111,0.0180,0.0552,0.0149,0.060
0.992387,0.0180,0.0552,0.0149,0.060
1.007868,-0.0266,0.0885,0.0190,0.094
1.014785,-0.0328,0.0994,0.0379,0.111
1.028474,-0.0141,0.0830,0.0567,0.102
1.036408,-0.0545,0.0658,0.0497,0.099
1.048742,-0.0685,0.0158,0.0239,0.074
1.058356,-0.0060,-0.0212,-0.0711,0.074
1.069487,-0.0268,-0.0301,-0.0942,0.102
1.080387,-0.0695,-0.0011,-0.1051,0.126
1.092325,0.0216,0.0451,-0.1253,0.135
1.104143,-0.0007,0.0809,-0.1654,0.184
1.114240,-0.0314,0.1322,-0.1651,0.214
1.114936,-0.0314,0.1322,-0.1651,0.214
1.129603,-0.0791,0.1276,-0.1434,0.208
1.135761,-0.0712,0.1211,-0.0884,0.166
1.149731,-0.1065,0.0070,0.0716,0.129
1.157900,-0.1471,-0.0749,0.1839,0.247
