time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016555,-0.1410,0.4774,-0.3725,0.622
0.033734,-0.1183,0.5258,-0.2175,0.581
0.054205,-0.1101,0.5530,0.1081,0.574
0.067290,-0.2489,0.6218,0.4714,0.819
0.079877,-0.2267,0.6270,0.6584,0.937
0.120092,0.2287,0.2515,0.7816,0.852
0.123833,0.1781,0.1638,0.7298,0.769
0.137593,0.2094,0.1313,0.3949,0.466
0.158681,0.0870,0.1164,0.2729,0.309
0.176381,0.4286,0.4202,0.0488,0.602
0.206948,-0.5610,-0.0188,0.4139,0.697
0.236835,0.2356,0.2301,-0.2858,0.436
0.249649,0.1021,0.3342,-0.2136,0.410
0.259026,-0.1430,0.5011,0.0432,0.523
0.300318,0.1608,0.5097,-0.2549,0.592
0.314113,0.1147,0.1650,-0.5137,0.552
0.326783,-0.2329,-0.1329,-0.6841,0.735
0.339085,0.0914,0.0557,-0.8394,0.846
0.376886,0.7265,-0.0413,0.3664,0.815
0.407425,1.4227,0.0152,0.7725,1.619
0.408854,1.4227,0.0152,0.7725,1.619
0.423540,1.4685,-0.1031,1.0142,1.788
0.447210,0.2044,0.0273,0.4432,0.489
0.472938,0.5198,0.1340,-0.7170,0.896
0.499951,0.1283,0.2687,-0.5754,0.648
0.515487,0.1514,0.1563,-0.6454,0.681
0.526767,0.1018,0.3539,-0.9657,1.034
0.542029,-0.0426,0.5114,-0.7460,0.905
0.575391,-0.1988,0.4056,-0.2115,0.499
0.601410,-0.0890,0.2013,-0.5986,0.638
0.616585,-0.0140,0.3380,-0.7927,0.862
0.632936,0.1305,0.3679,-0.5701,0.691
0.645257,0.0875,0.3298,-0.2396,0.417
0.686482,0.2163,0.4271,1.1084,1.207
0.687863,0.2163,0.4271,1.1084,1.207
0.720027,0.2347,0.2783,0.4402,0.571
0.736276,0.1672,0.1142,-0.0703,0.214
0.751769,0.3106,0.2225,-0.0676,0.388
0.769879,0.4547,0.2823,-0.0027,0.535
0.786406,0.4244,0.2509,-0.1544,0.517
0.806750,0.4264,0.3099,0.0151,0.527
0.838350,0.2877,0.2148,0.2357,0.429
0.855399,0.3073,0.2295,0.1355,0.407
0.867494,0.3515,0.1929,-0.1058,0.415
0.888078,0.1969,0.1933,-0.5833,0.645
0.908339,0.2828,0.2477,-0.4141,0.559
0.929528,0.3787,0.2183,-0.2427,0.500
0.949553,0.3107,0.2657,-0.3182,0.518
0.976823,0.1407,0.1958,-0.5017,0.557
0.997784,0.2036,0.2377,-0.3533,0.472
1.010261,0.1760,0.2852,-0.2241,0.403
1.030827,0.2102,0.3286,-0.1066,0.404
1.051562,0.2072,0.2452,-0.1708,0.364
1.089859,0.2678,0.2408,0.1793,0.402
1.113519,0.1162,0.2640,0.1412,0.321
1.115424,0.1082,0.2651,0.1268,0.313
1.132448,0.0935,0.2659,0.0382,0.284
1.152635,0.0842,0.2398,-0.0483,0.259
1.187920,0.0867,0.2964,-0.0251,0.310
1.210844,0.0764,0.2351,-0.0421,0.251
1.230934,0.0954,0.2952,0.0799,0.320
1.247076,0.1142,0.3308,0.1042,0.365
1.264119,0.1038,0.2758,-0.0846,0.307
1.280801,-0.0207,0.2028,-0.2329,0.310
1.303927,-0.0018,0.2172,-0.0872,0.234
