time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.019419,-0.3704,0.5032,-1.1094,1.273
0.031087,-0.1594,0.5894,-0.8216,1.024
0.051120,-0.2118,0.7562,0.1462,0.799
0.071471,0.3207,0.4821,0.9627,1.123
0.091674,1.0549,-0.1051,0.2179,1.082
0.123412,0.0498,0.4881,0.0805,0.497
0.163706,0.3603,0.5720,0.6786,0.958
0.164821,0.5062,0.4585,0.6141,0.918
0.175079,0.7607,0.3107,0.4852,0.954
0.193773,0.9720,0.3254,0.5617,1.169
0.214024,0.5424,0.4224,0.4370,0.815
0.238869,0.1855,0.6294,0.1105,0.665
0.256788,0.0710,0.8804,0.1925,0.904
0.286296,0.0771,0.7333,0.5284,0.907
0.296706,0.4726,1.2739,0.4786,1.441
0.327894,-1.0651,0.1036,-0.1658,1.083
0.357719,-0.1093,0.5256,-0.3387,0.635
0.358406,-0.2718,0.5422,-0.1522,0.625
0.377005,-0.2575,0.7947,0.2595,0.875
0.396797,0.0337,0.8105,0.6439,1.036
0.425904,0.5646,-0.3014,-0.5696,0.857
0.444629,0.5577,-0.0106,-0.0708,0.562
0.461198,0.3366,0.1780,0.2374,0.449
0.478858,0.2899,0.2878,-0.0308,0.410
0.498782,0.3032,0.2926,-0.6396,0.766
0.527569,0.6794,-0.6276,-0.4194,1.016
0.563775,0.8615,-0.1977,-0.0140,0.884
0.564380,0.8615,-0.1977,-0.0140,0.884
0.579783,0.2213,0.1743,0.4670,0.545
0.600626,0.0326,0.4175,0.3057,0.519
0.633044,0.2317,0.2967,-0.4638,0.597
0.648172,-0.0352,0.4436,-0.8172,0.931
0.662609,-0.2761,0.4626,-0.9360,1.080
0.681856,-0.4070,0.6377,-0.9999,1.254
0.702579,-0.4500,0.8799,-0.9859,1.396
0.725945,-0.7667,0.9955,-1.0690,1.650
0.744218,-0.7150,1.2642,-0.7007,1.613
0.763388,-0.9606,1.3475,-0.4699,1.720
0.783607,-0.9793,1.1108,-0.4485,1.547
0.804550,-0.4712,0.9190,-0.3525,1.091
0.838871,0.2036,0.5834,0.0247,0.618
0.873024,0.4695,0.9855,-0.4256,1.172
0.873760,0.4695,0.9855,-0.4256,1.172
0.886204,0.4318,1.0860,-0.5329,1.284
0.906001,0.1153,1.3176,-0.4447,1.395
0.941223,-0.4548,1.3931,-0.7417,1.642
0.976973,-0.4491,1.6988,-0.3764,1.797
0.977973,-0.3764,1.8423,-0.4102,1.925
0.987771,-0.5067,1.8393,-0.2283,1.921
1.008575,-0.5278,1.5007,-0.0067,1.591
1.036563,-0.7585,1.3939,-0.0244,1.587
1.050482,-0.5894,1.2845,0.3346,1.452
1.069073,-0.5465,1.1887,0.6322,1.453
1.090040,-0.2356,0.9543,0.5182,1.111
1.126277,-0.0563,0.6287,0.9251,1.120
1.164911,0.1664,0.8640,1.7206,1.932
1.166228,0.1786,1.0405,1.7155,2.014
1.181550,0.2402,1.3006,1.4656,1.974
1.198395,0.1567,0.9172,1.3131,1.609
1.214269,0.2312,0.4962,1.4160,1.518
1.244967,0.3725,-0.2523,1.6814,1.741
1.279173,-0.0439,-0.6030,2.3489,2.425
1.279755,-0.0439,-0.6030,2.3489,2.425
1.298210,0.0671,-0.5765,2.0242,2.106
1.314756,0.1110,-0.6242,1.3375,1.480
1.337859,0.4402,-0.6311,-0.4212,0.877
1.361432,0.8699,-0.1958,-2.1637,2.340
1.381240,1.0646,0.0197,-2.5248,2.740
1.397858,1.1616,0.1888,-2.3297,2.610
1.435159,1.3937,-0.0341,-2.6008,2.951
1.436067,1.3548,-0.0786,-2.6074,2.939
1.455906,1.2887,-0.0799,-2.2922,2.631
1.477620,1.0616,-0.0759,-1.4903,1.831
1.498095,0.8814,-0.2987,-1.4162,1.695
1.536426,0.6937,0.1726,-1.1039,1.315
1.537383,0.6937,0.1726,-1.1039,1.315
1.557041,0.8735,0.4327,-0.5699,1.129
1.577536,1.0814,0.4069,-0.5647,1.286
1.597810,0.8772,0.3693,-1.3813,1.677
1.634771,0.7334,0.6096,-1.1319,1.480
1.653077,0.6042,0.7358,-0.3215,1.005
1.662019,0.6296,0.7240,-0.0061,0.959
1.679074,0.6617,0.6177,0.2008,0.927
1.699150,0.3363,0.6752,0.3459,0.830
1.735175,0.4009,1.0226,0.6787,1.291
1.752891,0.1435,1.0858,0.5520,1.226
1.761290,0.1456,1.0649,0.7011,1.283
1.780647,0.3007,0.6456,1.4880,1.650
1.801078,0.8132,0.9144,1.6881,2.085
1.833474,-0.0162,0.3369,1.9289,1.958
1.853334,-0.0263,-0.3080,2.9322,2.948
