time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.018823,1.0751,0.7484,1.5223,2.008
0.029174,0.5658,0.7119,1.7472,1.970
0.048290,-0.3777,0.0165,1.0205,1.088
0.069594,-0.3384,0.0483,0.3386,0.481
0.090844,0.3860,0.4581,0.0108,0.599
0.109867,-0.0775,0.3799,-0.6788,0.782
0.130204,0.1098,0.4649,-0.7369,0.878
0.150579,0.1594,0.5236,-0.6862,0.878
0.170578,-0.3616,0.5009,-0.4284,0.752
0.196702,-0.5165,0.3209,0.0858,0.614
0.215586,0.2851,0.0657,0.6098,0.676
0.231426,-1.1472,0.0375,1.6661,2.023
0.251761,-0.8386,0.5478,-0.2059,1.023
0.271817,-0.0197,-0.0192,-0.3584,0.359
0.292198,-1.0949,-0.0025,-0.5049,1.206
0.312448,-0.8205,0.0257,-0.6917,1.073
0.333342,0.2106,0.3200,-0.5070,0.635
0.353216,0.7262,0.4295,0.3362,0.908
0.373646,-0.4820,-0.8557,0.5881,1.145
0.398625,-0.8481,0.0115,0.1961,0.871
0.414578,-1.2669,0.5251,-0.7570,1.567
0.434977,-1.2580,-0.2046,-0.7891,1.499
0.466938,1.6711,1.4074,-0.2516,2.199
0.478062,2.2578,1.5800,0.0547,2.756
0.503210,0.9506,0.3697,0.3488,1.078
0.523298,-0.5479,0.0354,-0.1376,0.566
0.536555,-0.9431,0.1045,-0.4159,1.036
0.596992,0.7447,0.8330,-0.9760,1.484
0.598062,0.7447,0.8330,-0.9760,1.484
0.598893,0.7447,0.8330,-0.9760,1.484
0.617967,0.7203,0.4701,1.1254,1.416
0.637256,0.2230,-0.2429,3.2444,3.261
0.657921,0.6600,0.1996,0.7703,1.034
0.678268,0.6740,0.4821,-0.1317,0.839
0.703108,1.1643,-0.3040,-0.0631,1.205
0.719621,0.7918,-0.5588,-0.4493,1.068
0.739683,0.8107,-0.2910,-1.1615,1.446
0.759966,1.4647,-0.0191,-0.3925,1.517
0.781174,0.8162,-0.1361,0.1178,0.836
0.819544,1.1778,0.2134,-0.2259,1.218
0.841862,0.8430,0.5758,-1.1227,1.517
0.842787,0.8430,0.5758,-1.1227,1.517
