time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004154,0.0484,0.3901,0.0682,0.399
0.025594,0.0774,0.5739,0.1508,0.598
0.042784,0.1045,0.5162,0.2074,0.566
0.056438,-0.0512,0.4129,-0.1906,0.458
0.075320,0.2403,0.4812,-0.2824,0.607
0.096850,0.2165,0.5352,-0.2521,0.630
0.115763,-0.1804,0.5560,-0.4323,0.727
0.147030,0.3464,0.8608,0.8458,1.256
0.160185,0.3660,0.5420,0.5934,0.883
0.177002,0.3033,0.0009,-0.2503,0.393
0.197156,0.3469,-0.1043,-0.3403,0.497
0.217790,0.5904,0.8277,-0.8193,1.306
0.247449,-0.3822,0.9625,0.1054,1.041
0.262936,0.3358,0.5421,0.7156,0.958
0.279047,1.0636,0.1319,0.8675,1.379
0.299240,-0.1230,-0.6485,0.9598,1.165
0.320142,0.2287,0.5721,0.4120,0.741
0.357794,1.0933,0.6584,0.9762,1.607
0.385235,0.7575,0.0682,-0.9828,1.243
0.386967,0.7575,0.0682,-0.9828,1.243
0.400760,0.4978,0.2826,-1.0429,1.190
0.421831,0.6703,0.6963,-0.3708,1.035
0.442489,2.3737,1.5672,-0.6853,2.926
0.462031,0.6577,0.8558,0.0457,1.080
0.482761,-0.0570,0.4006,-0.3044,0.506
0.503549,-0.9091,-0.1292,-0.4981,1.045
0.523814,0.8304,0.2900,0.0841,0.884
0.543527,1.1003,0.4435,0.5153,1.293
0.563920,0.7851,0.5730,-0.0075,0.972
0.584234,0.8265,0.5716,-0.6355,1.189
0.605207,0.9263,0.7449,-0.8528,1.463
0.625329,1.0453,0.6848,-1.1304,1.685
0.655212,0.9020,0.6204,0.0007,1.095
0.677934,0.9279,0.4318,0.2216,1.047
0.686508,0.9350,0.4563,0.2359,1.067
0.706863,0.9259,0.4748,0.5091,1.158
0.727032,1.2009,0.4760,0.1429,1.300
0.764202,0.7032,0.9695,-0.7639,1.421
0.785198,0.6558,1.0323,-0.5570,1.344
0.791957,1.0327,1.0483,-0.2008,1.485
0.807418,1.1768,0.8947,-0.1170,1.483
0.827965,0.8347,0.8842,-0.1512,1.225
0.856362,0.8858,0.8972,0.2765,1.291
0.876603,0.7167,0.9466,0.3893,1.249
0.888509,0.7825,0.8684,0.1474,1.178
0.908792,0.7559,0.7017,0.1846,1.048
0.930154,0.8509,0.7187,-0.0523,1.115
0.949579,0.8074,0.7913,-0.0342,1.131
0.970174,0.8936,0.6480,0.3666,1.163
0.990456,1.2595,0.3215,0.3776,1.354
1.011188,1.1209,0.0477,0.0155,1.122
1.032181,0.8844,0.4610,-0.4269,1.085
1.051688,0.7883,0.6560,0.0838,1.029
1.072195,0.8110,0.3722,0.7827,1.187
1.092177,0.2506,0.1220,0.7268,0.778
1.112496,0.4772,-0.4382,1.2484,1.407
1.132835,0.7529,-0.6904,2.0019,2.247
1.163337,0.5535,-0.5701,1.6167,1.801
1.175866,0.6035,-0.5493,1.1575,1.416
1.193608,0.4919,-0.4602,0.1480,0.690
1.213806,0.1347,-0.1792,-0.5203,0.567
1.234957,-0.0606,-0.2548,-1.0208,1.054
1.261798,-0.0539,-0.4556,-1.2818,1.361
1.274895,-0.3519,-0.5626,-1.4712,1.614
1.295570,-0.8181,-0.6998,-1.3823,1.752
1.315558,-1.1093,-0.9608,-0.0289,1.468
1.336816,-0.2825,-1.4606,1.2197,1.924
1.362220,0.5063,-1.5880,0.7277,1.819
1.377322,0.4732,-1.4454,0.1637,1.530
1.397769,0.1052,-0.7883,-0.8407,1.157
1.418208,0.0235,-0.0870,-1.5879,1.590
1.447819,0.0819,-0.4251,-1.8288,1.879
1.458300,0.4231,-0.0983,-2.0351,2.081
1.478307,-0.1897,0.5493,-2.6803,2.743
1.498481,-0.1354,0.6921,-2.0436,2.162
1.518698,-0.0476,0.7076,-0.8348,1.095
1.552874,-0.0040,0.5440,0.7886,0.958
1.565993,0.0013,0.3931,1.0214,1.094
1.583385,0.0326,0.4915,1.2101,1.306
1.600611,0.0008,0.6988,0.8221,1.079
1.620768,-0.2382,0.7367,0.5899,0.973
1.651181,-0.5298,0.9072,0.5985,1.209
1.665779,-0.5905,0.8830,0.3613,1.122
1.682771,-0.6097,0.7732,0.7478,1.236
1.702008,-0.3969,0.5564,1.0131,1.222
1.722239,-0.6369,0.2870,0.8353,1.089
